Creator,Username,YouTube_Link,Email,Subscribers,Views_per_video,ER%,ER_Note,Country,Description,Language,Relevance_Score,Content_Type,Whale_Potential,Audience_Level,Suggested_Use_Case,Found_Via_Query,Channel_Bucket,Source
ScrapeOps,@scrapeops,http://www.youtube.com/@scrapeops,,5910,22009,100.0,Viral/anomaly,,,English,8.0,Tutorial,Low,Mixed,Web Scraping,web scraping tutorial; web scraping python; web crawling tutorial; scrape website python; web scraping proxies; proxy for web scraping; scraping proxies; API scraping tutorial; puppeteer web scraping; playwright web scraping; selenium web scraping advanced; web scraping tutorial español; web scraping python español,COMPANY,Claude Code Discovery V2
Botpress,@Botpress,http://www.youtube.com/@Botpress,,25500,76297,100.0,Viral/anomaly,,"Botpress is an AI agent and chatbot platform for developers and enterprises alike.

We're a flexible, user-friendly platform that empowers individuals and teams of all sizes to design, build, and deploy AI-powered chatbots for various applications. 

Our YouTube channel features product updates, tutorials, and walk-throughs of the platform.

As a pioneer in the chatbot industry, we embrace the power of LLMs and generative AI to create personalized, engaging chatbot experiences for any use case.
",English,8.0,Tutorial,Medium,Enterprise,General Automation,automatisierung Python deutsch,COMPANY,Claude Code Discovery V2
Crawlbase,@CrawlbaseChannel,http://www.youtube.com/@CrawlbaseChannel,,709,53458,100.0,Viral/anomaly,,"Welcome to the official Crawlbase YouTube Channel – your go-to hub for web scraping, intelligent proxies, and public data collection at scale.

💪 Crawlbase empowers your data operations with:

✅ Crawling API – Extract structured web data at scale. Fast, reliable, and pipeline-ready.
✅ Smart AI Proxy – Bypass restrictions and scale your requests seamlessly with intelligent proxy rotation.
✅ Crawler – Maximize web crawling with async, high-success automation — trusted for massive-scale projects.
✅",English,7.0,News,High,Enterprise,Data Engineering,web crawling tutorial; web scraping proxies; proxy for web scraping; scraping proxies; google scraping proxies; API scraping tutorial; puppeteer web scraping; scraping données python,COMPANY,Claude Code Discovery V2
Thordata,@Thordata,http://www.youtube.com/@Thordata,,539,174,32.19,,,"We are a cutting-edge self-service proxy infrastructure provider, offering unmatched residential and ISP proxy services to clients worldwide. Our platform ensures full transparency and security of data sources, catering to a variety of business needs.
🔥Click to follow and contact customer service on the official website to claim your free trial.🔥
Go straight to the official website👇
https://www.thordata.com/?ls=OnLTCkaS&lk=YouTube
",English,7.0,Tutorial,High,Enterprise,SERP Tracking,web scraping proxies; proxy for web scraping; scraping proxies; serp scraper api tutorial; google scraping proxies; scraperapi tutorial,COMPANY,Claude Code Discovery V2
"SerpApi, LLC",@serpapi,http://www.youtube.com/@serpapi,,2400,1951,81.31,,,"Scrape Google and other search engines from our fast, easy, and complete API.
",English,7.0,Tutorial,Medium,Mixed,SERP Tracking,serp scraper api tutorial; API scraping tutorial,COMPANY,Claude Code Discovery V2
DataForSEO - Powerful SEO API Stack,@DataForSEO,http://www.youtube.com/@DataForSEO,,9320,577,6.2,,,"Leading provider of SEO and digital marketing API solutions, no-code integrations, and databases.

On this channel, you’ll find tutorials, guides, and valuable tips for SEO pros, developers, and automation experts.

Looking to build efficient solutions? Subscribe and discover the potential of precise and affordable data ⚙️🧑🏻‍💻
",English,7.0,Tutorial,Medium,Professional,SERP Tracking,serp scraper api tutorial,COMPANY,Claude Code Discovery V2
FineProxy - Datacenter Proxies for all your needs.,@fineproxy-.8632,http://www.youtube.com/@fineproxy-.8632,,626,544,86.87,,,"Welcome to the official FineProxy channel! We are a leading provider of high-quality proxy servers since 2011, offering a variety of solutions to meet your online needs.

On our channel, you will find useful reviews, tutorials, and tips on how to use proxy servers for various purposes, including:

🌐 Diverse Proxy Types: Datacenter, rotating, and private proxies.
🌍 Global Server Network: Access to IP addresses from over 25 countries to bypass geo-restrictions.
🔒 High Anonymity and Security: Prote",English,7.0,Review,High,Mixed,Ad Verification,ad verification proxy; proxies for ad verification,COMPANY,Claude Code Discovery V2
ScrapeGraphAI,@ScrapeGraphAI,http://www.youtube.com/@ScrapeGraphAI,,708,329,46.5,,,,English,7.0,Tutorial,Low,Mixed,Web Scraping,API scraping tutorial,COMPANY,Claude Code Discovery V2
BotBee,@botbee_io,http://www.youtube.com/@botbee_io,,2140,1575,73.58,,,"Welcome to the Official BotBee YouTube Channel!
🚀 Your Go-To Hub for AI Chatbot Automation!

Explore the power of BotBee—your ultimate chatbot automation platform. Whether you're a beginner or an expert, our channel brings you:

✅ Step-by-step tutorials to build and optimize chatbots
✅ Latest product updates & features to stay ahead
✅ Best practices & expert tips for chatbot development
✅ Case studies & success stories to inspire your journey

Our Chatbot Capabilities:
🤖 Customizable workflows f",English,6.0,Tutorial,Medium,Professional,Social Automation,instagram automation bot,COMPANY,Claude Code Discovery V2
AutoBoost Tools,@AutoBoostTools,http://www.youtube.com/@AutoBoostTools,,510,342,67.04,,,"AutoPost Software – The Ultimate Marketing Automation Hub

At AutoPost Software, we provide cutting-edge automation tools designed to streamline and scale your marketing efforts across all major digital platforms — including Facebook, TikTok, X (Twitter), Instagram, LinkedIn, and more.

Whether you need to auto-post, auto-comment, auto-message, or manage multiple accounts efficiently, our solutions are built to save you time, boost engagement, and maximize your productivity.

✅ All-in-One Platfo",English,6.0,Tutorial,Medium,Enterprise,Social Automation,tiktok automation tools,COMPANY,Claude Code Discovery V2
