company_name,domain,linkedin_url,category_norm,proxy_use_case_norm,proxy_relevance,country,company_size,source_dataset
360mediadirect,360mediadirect.com,https://www.linkedin.com/company/360mediadirect,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),HIGH,United States,26,Apollo_targets
Red Rhino Marketing & Advertising Agency,red-rhino.com,https://www.linkedin.com/company/red-rhino-marketing-&-advertising-agency,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),HIGH,United States,32,Apollo_targets
WPB,wpb.co.uk,https://www.linkedin.com/company/wpb,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),HIGH,United Kingdom,33,Apollo_targets
Inside Information,inside-info.com,https://www.linkedin.com/company/inside-information-inc.,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),HIGH,United States,24,Apollo_targets
O.group GmbH,ogroup.de,https://www.linkedin.com/company/o-group-gmbh,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),HIGH,Germany,35,Apollo_targets
Brandvids Infotech Pvt Ltd,brandvids.co,https://www.linkedin.com/company/brandvids-infotech-private-limited,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),HIGH,United States,27,Apollo_targets
Saz Services,saz.com,https://www.linkedin.com/company/saz-services-gmbh,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),HIGH,Germany,28,Apollo_targets
"Ruvixx, Inc.",ruvixx.com,https://www.linkedin.com/company/ruvixx-inc-,Other / Unknown,Needs validation,HIGH,United States,85,Apollo_targets
Sellerdirectories,sellerdirectories.com,https://www.linkedin.com/company/sellerdirectories,E-commerce / Price Intelligence,Marketplace / retail price monitoring,HIGH,,1-10,datarade_top200
Opah Labs,opahlabs.com,https://www.linkedin.com/company/opah-labs,E-commerce / Price Intelligence,Marketplace / retail price monitoring,HIGH,,1-10,datarade_top200
PrizeLogic,prizelogic.com,https://www.linkedin.com/company/prizelogic,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),HIGH,United States,190,Apollo_targets
"Sports Innovation Lab, part of Genius Sports",sportsilab.com,https://www.linkedin.com/company/sports-innovation-lab,Ad Verification / Brand Safety,Ad verification & geo QA (multi-region),HIGH,United States,24,Apollo_targets
